title,Directed by,Written by,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Country,Language,Running time (int),Budget (float),Box office (float),Release dates (datetime),imdb,metascore,rotten_tomatoes,Screenplay by,Based on
A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,Roman Coppola,"['Roman Coppola', 'Youree Henley']","['Charlie Sheen', 'Katheryn Winnick', 'Bill Murray', 'Jason Schwartzman', 'Patricia Arquette', 'Mary Elizabeth Winstead', 'Fabianne Therese']",Nick Beal,Robert Schafer,"['Liam Hayes', 'Roger Neill']","['American Zoetrope', 'The Directors Bureau']","['A24', 'FilmBuff']",United States,English,86.0,,210565.0,15-11-2012,4.6,28,16%,,
Ginger & Rosa,Sally Potter,Sally Potter,"['Christopher Sheppard', 'Andrew Litvin']","['Elle Fanning', 'Alice Englert', 'Alessandro Nivola', 'Christina Hendricks', 'Timothy Spall', 'Oliver Platt', 'Jodhi May', 'Annette Bening']",Robbie Ryan,Anders Refn,,"['British Film Institute', 'BBC Films', 'Adventure Pictures', 'The Match Factory', 'Ingenious', 'Media House Capital', 'Miso Film', 'Danish Film Institute']","['Artificial Eye (United Kingdom)', '(United Kingdom)', 'Universal Pictures (Denmark)', '(Denmark)', 'Union Pictures (Canada)', '(Canada)']",,English,90.0,,1700000.0,07-09-2012,6.2,69,78%,,
Spring Breakers,Harmony Korine,Harmony Korine,"['Chris Hanley', 'Jordan Gertner', 'David Zander', 'Charles-Marie Anthonioz']","['James Franco', 'Selena Gomez', 'Vanessa Hudgens', 'Ashley Benson', 'Rachel Korine', 'Gucci Mane']",Benoît Debie,Douglas Crise,"['Skrillex', 'Cliff Martinez']","['Muse Productions', 'Annapurna Pictures', 'Division Films', 'Radar Productions']",A24,United States,English,94.0,5000000.0,31700000.0,04-09-2012,5.3,63,67%,,
The Bling Ring,Sofia Coppola,,"['Roman Coppola', 'Sofia Coppola', 'Youree Henley']","['Emma Watson', 'Israel Broussard', 'Katie Chang', 'Taissa Farmiga', 'Claire Julien', 'Georgia Rock', 'Leslie Mann']","['Harris Savides', 'Christopher Blauvelt']",Sarah Flack,"['Brian Reitzell', 'Daniel Lopatin']","['American Zoetrope', 'NALA Films', 'Pathé Distribution', 'StudioCanal Limited', 'Tobis Film GmbH & Co. KG', 'Tohokushinsha Film Corporation', 'FilmNation Entertainment']","['A24 (United States)', 'StudioCanal (United Kingdom)', 'Pathé Distribution (France)', 'Tobis Film (Germany)', 'Tohokushinsha Film (Japan)']",,English,90.0,8199999.999999999,20000000.0,16-05-2013,5.6,66,60%,Sofia Coppola,"['""The Suspects Wore Louboutins""', 'by', 'Nancy Jo Sales']"
The Spectacular Now,James Ponsoldt,,"['Tom McNulty', 'Shawn Levy', 'Michelle Krumm', 'Andrew Lauren']","['Miles Teller', 'Shailene Woodley', 'Brie Larson', 'Mary Elizabeth Winstead', 'Bob Odenkirk', 'Jennifer Jason Leigh', 'Kyle Chandler']",Jess Hall,Darrin Navarro,Rob Simonsen,"['Andrew Lauren Productions', '21 Laps Entertainment', 'Global Produce']",A24,United States,English,95.0,2500000.0,6900000.0,18-01-2013,7.1,82,91%,"['Scott Neustadter', 'Michael H. Weber']","['The Spectacular Now', 'by Tim Tharp']"
Enemy,Denis Villeneuve,,"['M. A. Faura', 'Niv Fichman']","['Jake Gyllenhaal', 'Mélanie Laurent', 'Sarah Gadon', 'Isabella Rossellini']",Nicolas Bolduc,Matthew Hannam,"['Daniel Bensi', 'Saunder Jurriaans']","['Pathé', 'Entertainment One', 'Telefilm Canada', 'Corus Entertainment', 'Televisión Española', 'Movie Central', 'The Movie Network', 'Ontario Media Development Corporation', 'Mecanismo Films', 'micro_scope', 'Rhombus Media', 'Roxbury Pictures']","['Entertainment One', 'Alfa Pictures', 'Condor Entertainment']",,English,90.0,,3500000.0,08-09-2013,6.9,61,71%,Javier Gullón,"['The Double', 'by', 'José Saramago']"
Under the Skin,Jonathan Glazer,,"['James Wilson', 'Nick Wechsler']",Scarlett Johansson,Daniel Landin,Paul Watts,Mica Levi,"['BFI', 'Film4', 'Silver Reel', 'Creative Scotland', 'JW Films', 'FilmNation Entertainment']","['StudioCanal (United Kingdom)', 'Ascot Elite (Switzerland)', 'A24 (United States)']",,English,108.0,,7300000.0,29-08-2013,6.3,80,84%,"['Walter Campbell', 'Jonathan Glazer']","['Under the Skin', 'by', 'Michel Faber']"
Locke,Steven Knight,Steven Knight,"['Paul Webster', 'Guy Heeley']","['Tom Hardy', 'Olivia Colman', 'Ruth Wilson', 'Andrew Scott', 'Ben Daniels', 'Tom Holland', 'Bill Milner']",Haris Zambarloukos,Justine Wright,Dickon Hinchliffe,"['Shoebox Films', 'IM Global']","['A24 (United States)', 'Lionsgate (United Kingdom)']",,English,85.0,2000000.0,5100000.0,02-09-2013,7.1,81,91%,,
Obvious Child,Gillian Robespierre,,Elisabeth Holm,"['Jenny Slate', 'Jake Lacy', 'Gaby Hoffmann', 'Gabe Liedman', 'Richard Kind', 'Polly Draper', 'David Cross']",Chris Teague,"['Casey Brooks', 'Jacob Craycroft']",Chris Bordeaux,"['Rooks Nest Entertainment', 'Sundial Pictures', 'Votiv Films']",A24,United States,English,83.0,1000000.0,3300000.0,17-01-2014,6.7,76,90%,Gillian Robespierre,"['Obvious Child', 'by Anna Bean', 'Karen Maine', 'Gillian Robespierre']"
The Rover,David Michôd,,"['Liz Watts', 'David Linde', 'David Michôd']","['Guy Pearce', 'Robert Pattinson', 'Scoot McNairy', 'David Field', 'Anthony Hayes', 'Gillian Jones', 'Susan Prior']",Natasha Braier,Peter Sciberras,Antony Partos,"['Blue-Tongue Films', 'Porchlight Films', 'Lava Bear Films', 'Screen Australia']",Roadshow Films,Australia,English,102.0,,3200000.0,18-05-2014,6.4,64,67%,David Michôd,
